Y1;Y2;X1;X2;X3;X4;U;V
42;2;99.4;11.49;72.4;12.76;8.19;111.1
100;6;98.5;14.14;25.9;21.48;7.87;111.46
36;6;100.3;13.55;67.4;17.86;8.05;111.71
110;5;94.6;10.17;64;14.47;8.07;111.9
85;13;99.1;11.77;100;17.41;8.13;112.21
145;13;93;14.54;60.6;11.21;7.81;112.04
80;7;97.2;10.78;87.3;21.33;8.14;112.57
113;5;101.4;10.65;78.3;21.03;8.13;113.23
270;30;96.2;14.13;60.4;33.33;8.17;113.7
104;9;97.9;8.97;85.5;24.85;8.22;114.37
141;6;91.9;22.95;97.6;43.04;7.91;113.82
126;7;103.5;16.05;85.2;38.35;7.71;114
92;7;103.4;25.76;68.1;40.63;7.76;113.42
102;11;92.3;17.51;76.8;17.07;7.65;112.91
106;15;98.3;4.36;73.8;6.04;7.45;112.72
64;13;100.2;8.72;52.7;12.52;7.46;112.43
105;10;102.8;12.45;79.5;13.29;7.56;112.23
98;9;96.5;16.37;60.2;18.01;7.6;111.9
51;5;99.4;10.91;57.1;17.71;7.54;111.65
51;3;103.6;13.74;80.1;16.76;7.66;111.33
75;7;97.2;14.77;65.2;19.36;7.4;111.45
106;14;103.7;18.09;82.5;22.35;7.15;111.88
86;10;101.6;17.15;76.2;24.32;6.9;112.07
76;9;106.7;14.98;69.6;21.08;7.12;112.41
51;6;96.4;13.03;69.5;13.97;7.17;112.6
109;3;85;19.81;66.5;12.39;7.05;112.74
59;1;104.7;28.21;79.2;26.26;7.19;113.24
39;5;84.3;21.36;65.6;14.24;7.16;113.47
27;8;84.3;14.85;86.3;23.03;7.01;113.86
5;1;96;10.99;44.4;7.27;7.81;112.01
22;3;95.2;9.55;64.7;11.27;8.1;112.16
54;4;87.6;5.4;56.6;9.23;7.98;112.63
27;3;96.9;10.26;53.9;21.07;7.75;113.21
21;6;93;11.62;60.5;10.6;7.65;112.91
9;3;99.5;8.31;80.6;7;7.47;112.44
9;1;100.7;6.76;83.1;5.33;7.62;111.52
146;17;100;4.14;69.8;7.89;7.26;112.75
15;1;97.2;5.78;79.1;14.23;7.87;112.51
